t_s,dt_s,volts,force_mN,raw_code,seq,n_held
0,,-0.00273,3.08361323,-4580,17827,1
0.002029,0.002029,-0.001508,3.20340699,-2530,17828,1
0.004052,0.002023,-0.000149,3.33663099,-250,17829,1
0.00608,0.002028,-0.000292,3.32261257,-490,17830,2
0.010138,0.004058,0.003815,3.72522548,6400,17832,1
0.012167,0.002029,-0.001603,3.19409406,-2690,17833,1
0.014196,0.002029,-0.002438,3.11223826,-4090,17834,1
0.016218,0.002022,0.006974,4.03490509,11700,17835,2
0.020276,0.004058,-0.000471,3.30506504,-790,17837,1
0.022304,0.002028,-0.002414,3.114591,-4050,17838,1
0.024333,0.002029,0.001031,3.45230745,1730,17839,1
0.026356,0.002023,-9.5e-05,3.34192466,-160,17840,2
0.030413,0.004057,-0.003642,2.99420905,-6110,17842,1
0.032442,0.002029,-0.002897,3.06724207,-4860,17843,1
0.034471,0.002029,0.001746,3.52239954,2930,17844,1
0.036493,0.002022,0.00059,3.40907582,990,17845,1
0.038522,0.002029,0.002623,3.60837264,4400,17846,2
0.04258,0.004058,0.001162,3.4651495,1950,17848,1
0.044602,0.002022,0.00338,3.68258203,5670,17849,1
0.046631,0.002029,0.005919,3.93148249,9930,17850,1
0.04866,0.002029,0.000799,3.42956428,1340,17851,2
0.052717,0.004057,0.003409,3.68542493,5720,17853,1
0.05474,0.002023,0.007886,4.12430927,13230,17854,1
0.056768,0.002028,0.010037,4.33517373,16840,17855,1
0.058797,0.002029,0.006807,4.01853393,11420,17856,2
0.062855,0.004058,0.001276,3.47632502,2140,17858,1
0.064877,0.002022,0.007689,4.10499718,12900,17859,1
0.066906,0.002029,0.000489,3.3991747,820,17860,1
0.068935,0.002029,-0.004864,2.87441529,-8160,17861,1
0.070964,0.002029,0.000358,3.38633265,600,17862,2
0.075015,0.004051,0.000918,3.44122996,1540,17864,1
0.077044,0.002029,0.00056,3.4061349,940,17865,1
0.079072,0.002028,-0.001323,3.22154271,-2220,17866,1
0.081101,0.002029,-0.00366,2.9924445,-6140,17867,2
0.085159,0.004058,0.000668,3.41672223,1120,17869,1
0.087181,0.002022,0.004268,3.76963347,7160,17870,1
0.08921,0.002029,0.006008,3.94020724,10080,17871,1
0.091239,0.002029,0.005281,3.86893877,8860,17872,2
0.09529,0.004051,0.001621,3.51014568,2720,17874,1
0.097319,0.002029,0.00273,3.61886195,4580,17875,1
0.099348,0.002029,0.006461,3.98461524,10840,17876,1
0.101376,0.002028,-0.001431,3.21095537,-2400,17877,1
0.103405,0.002029,-0.003016,3.0555764,-5060,17878,2
0.107456,0.004051,0.00062,3.41201675,1040,17880,1
0.109485,0.002029,0.007141,4.05127625,11980,17881,1
0.111514,0.002029,0.002038,3.55102457,3420,17882,1
0.113543,0.002029,-0.003517,3.00646292,-5900,17883,2
0.117594,0.004051,-0.000525,3.29977137,-880,17885,1
0.119623,0.002029,0.000346,3.38515628,580,17886,1
0.121652,0.002029,0.002551,3.60131442,4280,17887,1
0.12368,0.002028,0.003254,3.67023014,5460,17888,2
0.127732,0.004052,-0.000417,3.31035871,-700,17890,1
0.12976,0.002028,-0.002205,3.13507946,-3700,17891,1
0.131789,0.002029,0.001991,3.54641711,3340,17892,1
0.133818,0.002029,0.001562,3.50436186,2620,17893,1
0.135847,0.002029,0.000513,3.40152744,860,17894,2
0.139898,0.004051,0.000322,3.38280354,540,17896,1
0.141927,0.002029,0.00332,3.67670018,5570,17897,1
0.143956,0.002029,0.003457,3.69013041,5800,17898,1
0.145984,0.002028,0.004333,3.77600548,7270,17899,2
0.150036,0.004052,-0.00149,3.20517155,-2500,17901,1
0.152064,0.002028,0.001132,3.46220857,1900,17902,1
0.154093,0.002029,0.00093,3.44240633,1560,17903,1
0.156122,0.002029,0.001878,3.53533962,3150,17904,2
0.160173,0.004051,0.001657,3.51367479,2780,17906,1
0.162202,0.002029,0.003058,3.65101608,5130,17907,1
0.164231,0.002029,-0.000238,3.32790624,-400,17908,1
0.16626,0.002029,-0.000519,3.30035955,-870,17909,1
0.168282,0.002022,0.005728,3.91275859,9610,17910,2
0.17234,0.004058,0.003958,3.73924389,6640,17912,1
0.174368,0.002028,0.006986,4.03608146,11720,17913,1
0.176397,0.002029,0.002766,3.62239106,4640,17914,1
0.17842,0.002023,0.000173,3.36819694,290,17915,2
0.182477,0.004057,-0.000435,3.30859415,-730,17917,1
0.184506,0.002029,-0.003338,3.02401045,-5600,17918,1
0.186535,0.002029,-0.004429,2.91705874,-7430,17919,1
0.188557,0.002022,-0.002044,3.15086243,-3430,17920,2
0.192615,0.004058,0.002104,3.55749461,3530,17922,1
0.194644,0.002029,0.006694,4.00745644,11230,17923,1
0.196672,0.002028,0.00335,3.67964111,5620,17924,1
0.198695,0.002023,0.002259,3.57268939,3790,17925,1
0.200724,0.002029,0.003415,3.68601312,5730,17926,2
0.204781,0.004057,-0.003046,3.05263547,-5110,17928,1
0.20681,0.002029,0.003129,3.65797628,5250,17929,1
0.208832,0.002022,0.003421,3.6866013,5740,17930,1
0.210861,0.002029,0.002939,3.63935041,4930,17931,2
0.214919,0.004058,-0.000501,3.30212411,-840,17933,1
0.216948,0.002029,-0.002944,3.06263462,-4940,17934,1
0.21897,0.002022,-0.00481,2.87970896,-8070,17935,1
0.220999,0.002029,-0.004244,2.93519445,-7120,17936,1
0.223028,0.002029,0.003177,3.66268176,5330,17937,2
0.227079,0.004051,0.00267,3.61298009,4480,17939,1
0.229108,0.002029,-0.001693,3.18527128,-2840,17940,1
0.231136,0.002028,0.001889,3.53641796,3170,17941,1
0.233165,0.002029,0.00149,3.49730363,2500,17942,2
0.237216,0.004051,0.003242,3.66905377,5440,17944,1
0.239245,0.002029,0.00307,3.65219245,5150,17945,1
0.241274,0.002029,0.002658,3.61180372,4460,17946,1
0.243303,0.002029,-0.00205,3.15027425,-3440,17947,2
0.247354,0.004051,-0.004017,2.95744747,-6740,17949,1
0.249383,0.002029,0.00599,3.93844268,10050,17950,1
0.251412,0.002029,0.003433,3.68777767,5760,17951,1
0.25344,0.002028,-0.000703,3.28232187,-1180,17952,1
0.255469,0.002029,0.001228,3.47161954,2060,17953,2
0.25952,0.004051,0.005865,3.92618882,9840,17955,1
0.261549,0.002029,0.005114,3.85256761,8580,17956,1
0.263578,0.002029,0.003791,3.72287273,6360,17957,1
0.2656,0.002022,-0.001013,3.25193229,-1700,17958,2
0.269658,0.004058,0.00273,3.61886195,4580,17960,1
0.271687,0.002029,0.004911,3.83266734,8240,17961,1
0.273716,0.002029,0.008786,4.21253708,14740,17962,1
0.275738,0.002022,0.001597,3.50779294,2680,17963,2
0.279796,0.004058,-0.004017,2.95744747,-6740,17965,1
0.281824,0.002028,0.006461,3.98461524,10840,17966,1
0.283847,0.002023,0.002015,3.54876986,3380,17967,1
0.285876,0.002029,-0.000846,3.26830345,-1420,17968,1
0.287904,0.002028,-0.000322,3.31967164,-540,17969,2
0.291962,0.004058,0.003028,3.64807516,5080,17971,1
0.293984,0.002022,0.004983,3.83972557,8360,17972,1
0.296013,0.002029,0.000751,3.4248588,1260,17973,1
0.298042,0.002029,-0.003922,2.9667604,-6580,17974,2
0.3021,0.004058,-0.004089,2.95038924,-6860,17976,1
0.304122,0.002022,0.001287,3.47740336,2160,17977,1
0.306151,0.002029,0.003922,3.73571478,6580,17978,1
0.30818,0.002029,-0.003839,2.97489697,-6440,17979,2
0.312231,0.004051,-0.005364,2.82539984,-9000,17981,1
0.31426,0.002029,0.001752,3.52298773,2940,17982,1
0.316288,0.002028,-0.002587,3.09763165,-4340,17983,1
0.318317,0.002029,-0.003541,3.00411017,-5940,17984,1
0.32034,0.002023,-0.005996,2.76344432,-10060,17985,2
0.324397,0.004057,-0.005186,2.84284934,-8700,17987,1
0.326426,0.002029,-0.001454,3.20870066,-2440,17988,1
0.328455,0.002029,0.005794,3.91922863,9720,17989,1
0.330477,0.002022,0.005102,3.85139124,8560,17990,2
0.334535,0.004058,0.000513,3.40152744,860,17992,1
0.336564,0.002029,0.002539,3.60013805,4260,17993,1
0.338586,0.002022,-0.000525,3.29977137,-880,17994,1
0.340615,0.002029,-0.001645,3.18997676,-2760,17995,2
0.344672,0.004057,-0.000656,3.28692932,-1100,17997,1
0.346701,0.002029,0.00484,3.82570715,8120,17998,1
0.348724,0.002023,0.005317,3.87246789,8920,17999,1
0.350752,0.002028,-0.000429,3.30918234,-720,18000,1
0.352781,0.002029,-0.000656,3.28692932,-1100,18001,2
0.356832,0.004051,-0.000572,3.29516392,-960,18003,1
0.358861,0.002029,0.001848,3.53239869,3100,18004,1
0.36089,0.002029,0.000608,3.41084038,1020,18005,1
0.362919,0.002029,-0.000477,3.30447685,-800,18006,2
0.36697,0.004051,-0.001442,3.20987703,-2420,18008,1
0.368999,0.002029,-0.002682,3.08831872,-4500,18009,1
0.371028,0.002029,0.003946,3.73806752,6620,18010,1
0.373056,0.002028,0.007707,4.10676174,12930,18011,2
0.377108,0.004052,0.007427,4.07931309,12460,18013,1
0.379136,0.002028,0.005484,3.88883905,9200,18014,1
0.381165,0.002029,-0.000322,3.31967164,-540,18015,1
0.383188,0.002023,0.00037,3.38750902,620,18016,1
0.385216,0.002028,-0.006902,2.67462832,-11580,18017,2
0.389274,0.004058,-0.002837,3.07312393,-4760,18019,1
0.391303,0.002029,0.000149,3.3658442,250,18020,1
0.393325,0.002022,0.003934,3.73689115,6600,18021,1
0.395354,0.002029,0.006151,3.95422566,10320,18022,2
0.399412,0.004058,0.00478,3.81982529,8020,18024,1
0.401434,0.002022,-0.000823,3.27055816,-1380,18025,1
0.403463,0.002029,-0.003976,2.96146673,-6670,18026,1
0.405492,0.002029,0.000864,3.43593629,1450,18027,2
0.409543,0.004051,-0.002432,3.11282644,-4080,18029,1
0.411572,0.002029,-0.000679,3.28467461,-1140,18030,1
0.4136,0.002028,0.00844,4.17861839,14160,18031,1
0.415629,0.002029,0.002211,3.56798391,3710,18032,1
0.417658,0.002029,-0.001597,3.19468224,-2680,18033,2
0.421709,0.004051,0.005132,3.85433217,8610,18035,1
0.423738,0.002029,0.000226,3.37339258,380,18036,1
0.425767,0.002029,0.002521,3.59837349,4230,18037,1
0.427796,0.002029,0.000489,3.3991747,820,18038,2
0.431847,0.004051,0.000417,3.39211648,700,18040,1
0.433876,0.002029,0.006849,4.02265123,11490,18041,1
0.435904,0.002028,-0.002241,3.13155034,-3760,18042,1
0.437927,0.002023,-0.000459,3.30624141,-770,18043,2
0.441984,0.004057,0.003225,3.66738724,5410,18045,1
0.444013,0.002029,-0.000513,3.30094774,-860,18046,1
0.446042,0.002029,-0.00369,2.98950357,-6190,18047,1
0.448064,0.002022,0.001359,3.48446158,2280,18048,1
0.450093,0.002029,0.009549,4.28733466,16020,18049,2
0.454151,0.004058,0.003666,3.71061887,6150,18051,1
0.45618,0.002029,0.005251,3.86599785,8810,18052,1
0.458202,0.002022,0.003964,3.73983208,6650,18053,1
0.460231,0.002029,-0.002182,3.13733417,-3660,18054,2
0.464288,0.004057,-0.001466,3.20752429,-2460,18056,1
0.466317,0.002029,-0.000477,3.30447685,-800,18057,1
0.46834,0.002023,0.001037,3.45289564,1740,18058,1
0.470368,0.002028,-0.002623,3.09410254,-4400,18059,2
0.474426,0.004058,-0.000805,3.27232272,-1350,18061,1
0.476455,0.002029,-0.005335,2.82824274,-8950,18062,1
0.478477,0.002022,-0.001955,3.15958718,-3280,18063,1
0.480506,0.002029,0.000113,3.36231508,190,18064,1
0.482535,0.002029,-0.000131,3.33839554,-220,18065,2
0.486592,0.004057,0.002646,3.61062735,4440,18067,1
0.488615,0.002023,0.005895,3.92912975,9890,18068,1
0.490644,0.002029,0.003493,3.69365953,5860,18069,1
0.492672,0.002028,0.002587,3.60484353,4340,18070,2
0.49673,0.004058,0.003731,3.71699088,6260,18072,1
0.498752,0.002022,0.005257,3.86658603,8820,18073,1
0.500781,0.002029,0.002086,3.55573005,3500,18074,1
0.50281,0.002029,-1.2e-05,3.35006122,-20,18075,2
0.506868,0.004058,-0.001407,3.21330812,-2360,18077,1
0.50889,0.002022,0.006092,3.94844183,10220,18078,1
0.510919,0.002029,7.2e-05,3.35829582,120,18079,1
0.512948,0.002029,0.002623,3.60837264,4400,18080,1
0.514976,0.002028,0.006735,4.0114757,11300,18081,2
0.519028,0.004052,0.005388,3.87942808,9040,18083,1
0.521056,0.002028,0.001884,3.53592781,3160,18084,1
0.523085,0.002029,-0.000882,3.26477434,-1480,18085,1
0.525114,0.002029,0.003552,3.69944335,5960,18086,2
0.529165,0.004051,-0.002694,3.08714235,-4520,18088,1
0.531194,0.002029,0.00025,3.37574532,420,18089,1
0.533223,0.002029,0.000501,3.40035107,840,18090,1
0.535252,0.002029,-0.00304,3.05322366,-5100,18091,2
0.539303,0.004051,-0.000274,3.32437713,-460,18093,1
0.541332,0.002029,-0.001836,3.17125286,-3080,18094,1
0.54336,0.002028,0.000262,3.37692169,440,18095,1
0.545389,0.002029,0.005114,3.85256761,8580,18096,1
0.547412,0.002023,0.000727,3.42250606,1220,18097,2
0.551469,0.004057,-0.003648,2.99362087,-6120,18099,1
0.553498,0.002029,0.0018,3.52769321,3020,18100,1
0.555527,0.002029,-0.005627,2.79961772,-9440,18101,1
0.557549,0.002022,0.00155,3.50318549,2600,18102,2
0.561607,0.004058,0.004447,3.787181,7460,18104,1
0.563636,0.002029,0.003123,3.65738809,5240,18105,1
0.565664,0.002028,-0.000548,3.29751666,-920,18106,1
0.567687,0.002023,0.00425,3.76786892,7130,18107,2
0.571744,0.004057,0.000292,3.37986261,490,18109,1
0.573773,0.002029,0.003082,3.65336883,5170,18110,1
0.575802,0.002029,0.005841,3.92383608,9800,18111,1
0.577824,0.002022,0.003815,3.72522548,6400,18112,1
0.579853,0.002029,0.001895,3.53700615,3180,18113,2
0.583911,0.004058,0.002426,3.58906056,4070,18115,1
0.585933,0.002022,0.0099,4.3217435,16610,18116,1
0.587962,0.002029,0.007194,4.05647189,12070,18117,1
0.589991,0.002029,0.003898,3.73336204,6540,18118,2
0.594048,0.004057,0.007826,4.11842742,13130,18120,1
0.596071,0.002023,0.006282,3.96706771,10540,18121,1
0.5981,0.002029,0.006002,3.93961905,10070,18122,1
0.600128,0.002028,0.000286,3.37927443,480,18123,2
0.60418,0.004052,0.000691,3.41897694,1160,18125,1
0.606208,0.002028,0.000238,3.37456895,400,18126,1
0.608237,0.002029,0.002289,3.57563032,3840,18127,1
0.610266,0.002029,0.000191,3.36996149,320,18128,1
0.612295,0.002029,-0.003302,3.02753956,-5540,18129,2
0.616346,0.004051,0.003731,3.71699088,6260,18131,1
0.618375,0.002029,0.011337,4.4626139,19020,18132,1
0.620404,0.002029,0.004399,3.78247552,7380,18133,1
0.622432,0.002028,0.00335,3.67964111,5620,18134,2
0.626484,0.004052,0.002909,3.63640948,4880,18136,1
0.628512,0.002028,0.004053,3.74855683,6800,18137,1
0.630541,0.002029,-0.002575,3.09880802,-4320,18138,1
0.632564,0.002023,-0.002348,3.12106104,-3940,18139,2
0.636621,0.004057,-0.000739,3.27879276,-1240,18141,1
0.63865,0.002029,0.002277,3.57445395,3820,18142,1
0.640679,0.002029,0.003231,3.66797543,5420,18143,1
0.642701,0.002022,0.000274,3.37809806,460,18144,1
0.64473,0.002029,-0.001073,3.24605044,-1800,18145,2
0.648788,0.004058,0.004065,3.7497332,6820,18147,1
0.650816,0.002028,0.004625,3.8046305,7760,18148,1
0.652839,0.002023,0.003898,3.73336204,6540,18149,1
0.654868,0.002029,-0.001717,3.18291854,-2880,18150,2
0.658925,0.004057,-0.004828,2.87794441,-8100,18152,1
0.660954,0.002029,0.002789,3.62464577,4680,18153,1
0.662976,0.002022,-0.001419,3.21213174,-2380,18154,1
0.665005,0.002029,0.001067,3.45583656,1790,18155,2
0.669063,0.004058,0.012535,4.58005492,21030,18157,1
0.671092,0.002029,0.001198,3.46867861,2010,18158,1
0.673114,0.002022,0.005138,3.85492036,8620,18159,1
0.675143,0.002029,0.005078,3.8490385,8520,18160,1
0.677172,0.002029,-0.002742,3.08243686,-4600,18161,2
0.681223,0.004051,0.005871,3.92677701,9850,18163,1
0.683252,0.002029,0.003153,3.66032902,5290,18164,1
0.68528,0.002028,-0.001562,3.19811333,-2620,18165,1
0.687309,0.002029,0.001431,3.49151981,2400,18166,2
0.69136,0.004051,0.00295,3.64042875,4950,18168,1
0.693389,0.002029,0.005978,3.93726631,10030,18169,1
0.695418,0.002029,-0.004286,2.93107715,-7190,18170,1
0.697447,0.002029,-0.005281,2.83353641,-8860,18171,1
0.699476,0.002029,-0.000548,3.29751666,-920,18172,2
0.703527,0.004051,0.001705,3.51838028,2860,18174,1
0.705556,0.002029,0.008851,4.21890909,14850,18175,1
0.707584,0.002028,0.00838,4.17273653,14060,18176,1
0.709613,0.002029,0,3.35123759,0,18177,2
0.713664,0.004051,-0.002247,3.13096216,-3770,18179,1
0.715693,0.002029,-4.2e-05,3.34712029,-70,18180,1
0.717722,0.002029,0.003403,3.68483674,5710,18181,1
0.719744,0.002022,-0.001776,3.17713471,-2980,18182,2
0.723802,0.004058,-0.002611,3.09527891,-4380,18184,1
0.725831,0.002029,0.003171,3.66209358,5320,18185,1
0.72786,0.002029,0.001961,3.54347619,3290,18186,1
0.729882,0.002022,0.001544,3.5025973,2590,18187,1
0.731911,0.002029,0.005579,3.89815198,9360,18188,2
0.735968,0.004057,0.004518,3.7941412,7580,18190,1
0.737997,0.002029,0.003612,3.7053252,6060,18191,1
0.74002,0.002023,0.000238,3.37456895,400,18192,1
0.742048,0.002028,-0.002122,3.14321602,-3560,18193,2
0.746106,0.004058,0.003874,3.7310093,6500,18195,1
0.748135,0.002029,0.005579,3.89815198,9360,18196,1
0.750157,0.002022,0.001431,3.49151981,2400,18197,1
0.752186,0.002029,0.001454,3.49377452,2440,18198,2
0.756244,0.004058,0.003219,3.66679906,5400,18200,1
0.758266,0.002022,0.002515,3.59778531,4220,18201,1
0.760295,0.002029,0.001526,3.50083275,2560,18202,1
0.762324,0.002029,0.002372,3.58376689,3980,18203,1
0.764352,0.002028,0.004613,3.80345413,7740,18204,2
0.768404,0.004052,-0.001419,3.21213174,-2380,18206,1
0.770432,0.002028,-0.000715,3.2811455,-1200,18207,1
0.772461,0.002029,0.003469,3.69130678,5820,18208,1
0.77449,0.002029,0.004423,3.78482826,7420,18209,2
0.778541,0.004051,0.00056,3.4061349,940,18211,1
0.78057,0.002029,0.004077,3.75090957,6840,18212,1
0.782599,0.002029,0.003707,3.71463814,6220,18213,1
0.784628,0.002029,-0.003189,3.03861705,-5350,18214,2
0.788679,0.004051,-0.001276,3.22615016,-2140,18216,1
0.790708,0.002029,-0.000519,3.30035955,-870,18217,1
0.792736,0.002028,-0.000966,3.25653974,-1620,18218,1
0.794765,0.002029,0.001669,3.51485116,2800,18219,1
0.796794,0.002029,-0.002468,3.10929733,-4140,18220,2
0.800845,0.004051,0.002998,3.64513423,5030,18222,1
0.802874,0.002029,0.003541,3.69836501,5940,18223,1
0.804903,0.002029,0.002217,3.5685721,3720,18224,1
0.806932,0.002029,0.003982,3.74159664,6680,18225,2
0.810983,0.004051,0.003266,3.67140651,5480,18227,1
0.813012,0.002029,-0.005519,2.81020505,-9260,18228,1
0.81504,0.002028,-0.007272,2.63835689,-12200,18229,1
0.817069,0.002029,0.006884,4.02608231,11550,18230,2
0.82112,0.004051,0.010139,4.34517289,17010,18232,1
0.823149,0.002029,0.00174,3.52181136,2920,18233,1
0.825178,0.002029,-0.003815,2.97724971,-6400,18234,1
0.827207,0.002029,-0.00028,3.32378894,-470,18235,1
0.829229,0.002022,0.004357,3.77835822,7310,18236,2
0.833287,0.004058,0.003785,3.72228455,6350,18238,1
0.835316,0.002029,-0.002569,3.09939621,-4310,18239,1
0.837344,0.002028,-0.009388,2.4309235,-15750,18240,1
0.839367,0.002023,-0.002998,3.05734095,-5030,18241,2
0.843424,0.004057,0.000739,3.42368243,1240,18243,1
0.845453,0.002029,0.000459,3.39623377,770,18244,1
0.847482,0.002029,0.000679,3.41780057,1140,18245,1
0.849504,0.002022,0.002086,3.55573005,3500,18246,2
0.853562,0.004058,0.002706,3.61650921,4540,18248,1
0.855591,0.002029,-0.005388,2.8230471,-9040,18249,1
0.85762,0.002029,0.00211,3.55808279,3540,18250,1
0.859642,0.002022,0.006092,3.94844183,10220,18251,1
0.861671,0.002029,-0.001216,3.23203202,-2040,18252,2
0.865728,0.004057,0.000417,3.39211648,700,18254,1
0.867757,0.002029,0.002652,3.61121554,4450,18255,1
0.86978,0.002023,-0.001305,3.22330727,-2190,18256,1
0.871808,0.002028,4.8e-05,3.35594307,80,18257,2
0.875866,0.004058,-0.002342,3.12164922,-3930,18259,1
0.877895,0.002029,-0.000215,3.33016095,-360,18260,1
0.879917,0.002022,-0.001603,3.19409406,-2690,18261,1
0.881946,0.002029,0.002599,3.6060199,4360,18262,2
0.886004,0.004058,0.001544,3.5025973,2590,18264,1
0.888032,0.002028,-0.000316,3.32025983,-530,18265,1
0.890055,0.002023,-0.002718,3.08478961,-4560,18266,1
0.892084,0.002029,-0.005174,2.84402572,-8680,18267,1
0.894112,0.002028,-0.000876,3.26536252,-1470,18268,2
0.898164,0.004052,-0.006217,2.74177949,-10430,18270,1
0.900192,0.002028,-0.003201,3.03744068,-5370,18271,1
0.902221,0.002029,0.000292,3.37986261,490,18272,1
0.90425,0.002029,0.001693,3.51720391,2840,18273,2
0.908301,0.004051,0.002557,3.6019026,4290,18275,1
0.91033,0.002029,3e-05,3.35417852,50,18276,1
0.912359,0.002029,-0.001818,3.17301742,-3050,18277,1
0.914388,0.002029,0.005025,3.84384286,8430,18278,2
0.918439,0.004051,0.004232,3.76610436,7100,18280,1
0.920468,0.002029,0.001043,3.45348382,1750,18281,1
0.922496,0.002028,0.002593,3.60543172,4350,18282,1
0.924525,0.002029,0.003725,3.71640269,6250,18283,1
0.926548,0.002023,0.000238,3.37456895,400,18284,2
0.930605,0.004057,0.002289,3.57563032,3840,18286,1
0.932634,0.002029,0.006324,3.971185,10610,18287,1
0.934663,0.002029,0.005686,3.90864129,9540,18288,1
0.936685,0.002022,-0.000548,3.29751666,-920,18289,2
0.940743,0.004058,-0.003654,2.99303268,-6130,18291,1
0.942772,0.002029,-0.004447,2.91529418,-7460,18292,1
0.944794,0.002022,0.000739,3.42368243,1240,18293,1
0.946823,0.002029,0.000846,3.43417173,1420,18294,2
0.95088,0.004057,0.002342,3.58082596,3930,18296,1
0.952909,0.002029,0.001878,3.53533962,3150,18297,1
0.954932,0.002023,0.00121,3.46985498,2030,18298,1
0.95696,0.002028,-0.003576,3.00067909,-6000,18299,1
0.958989,0.002029,-0.001717,3.18291854,-2880,18300,2
0.963047,0.004058,0.004786,3.82041348,8030,18302,1
0.965076,0.002029,0.007063,4.04362984,11850,18303,1
0.967098,0.002022,-0.00034,3.31790709,-570,18304,1
0.969127,0.002029,-0.003433,3.01469751,-5760,18305,2
0.973184,0.004057,-0.003541,3.00411017,-5940,18307,1
0.975213,0.002029,0.001669,3.51485116,2800,18308,1
0.977236,0.002023,-0.002789,3.07782941,-4680,18309,1
0.979264,0.002028,-4.8e-05,3.34653211,-80,18310,2
0.983322,0.004058,-0.001025,3.25075592,-1720,18312,1
0.985351,0.002029,-0.001615,3.19291769,-2710,18313,1
0.987373,0.002022,0.001466,3.49495089,2460,18314,1
0.989402,0.002029,-0.004917,2.86921966,-8250,18315,1
0.991431,0.002029,-0.003076,3.04969454,-5160,18316,2
0.995488,0.004057,0.000125,3.36349145,210,18318,1
0.997511,0.002023,0.007176,4.05470733,12040,18319,1
0.99954,0.002029,0.003016,3.64689879,5060,18320,1
1.001568,0.002028,0.000322,3.38280354,540,18321,2
1.005626,0.004058,-0.000918,3.26124523,-1540,18323,1
1.007655,0.002029,0.003093,3.65444717,5190,18324,1
1.009677,0.002022,0.004631,3.80521869,7770,18325,1
1.011706,0.002029,0.004071,3.75032139,6830,18326,2
1.015764,0.004058,-0.00453,2.90715761,-7600,18328,1
1.017786,0.002022,-0.000489,3.30330048,-820,18329,1
1.019815,0.002029,0.001901,3.53759433,3190,18330,1
1.021844,0.002029,0.003487,3.69307134,5850,18331,1
1.023872,0.002028,0.001717,3.51955665,2880,18332,2
1.027924,0.004052,0.009048,4.23822117,15180,18334,1
1.029952,0.002028,0.008363,4.17107001,14030,18335,1
1.031981,0.002029,0.002623,3.60837264,4400,18336,1
1.03401,0.002029,0.001156,3.46456131,1940,18337,2
1.038068,0.004058,-0.000763,3.27644002,-1280,18339,1
1.04009,0.002022,0.003469,3.69130678,5820,18340,1
1.042119,0.002029,0.001538,3.50200912,2580,18341,1
1.044148,0.002029,-0.004017,2.95744747,-6740,18342,2
1.048205,0.004057,-0.000191,3.33251369,-320,18344,1
1.050228,0.002023,-0.004137,2.94568376,-6940,18345,1
1.052256,0.002028,-0.001132,3.24026661,-1900,18346,1
1.054285,0.002029,0.000596,3.40966401,1000,18347,1
1.056314,0.002029,-0.002539,3.10233714,-4260,18348,2
1.060365,0.004051,0.000274,3.37809806,460,18350,1
1.062394,0.002029,-0.001991,3.15605807,-3340,18351,1
1.064423,0.002029,-0.002825,3.0743003,-4740,18352,1
1.066452,0.002029,-0.00242,3.11400281,-4060,18353,2
1.070503,0.004051,0.001705,3.51838028,2860,18355,1
1.072532,0.002029,0.000238,3.37456895,400,18356,1
1.07456,0.002028,-0.000536,3.29869303,-900,18357,1
1.076589,0.002029,-0.003552,3.00303183,-5960,18358,2
1.08064,0.004051,-0.00155,3.1992897,-2600,18360,1
1.082669,0.002029,0.002164,3.56337646,3630,18361,1
1.084698,0.002029,-0.002313,3.12449212,-3880,18362,1
1.086727,0.002029,-0.003529,3.00528655,-5920,18363,1
1.088756,0.002029,-0.001967,3.15841081,-3300,18364,2
1.092807,0.004051,0.000232,3.37398076,390,18366,1
1.094836,0.002029,-0.003624,2.99597361,-6080,18367,1
1.096864,0.002028,-0.002831,3.07371211,-4750,18368,1
1.098893,0.002029,-0.002986,3.05851732,-5010,18369,2
1.102944,0.004051,0.002325,3.57915943,3900,18371,1
1.104973,0.002029,0.008279,4.16283541,13890,18372,1
1.107002,0.002029,0.003266,3.67140651,5480,18373,1
1.109031,0.002029,0.000632,3.41319312,1060,18374,2
1.113082,0.004051,-0.000101,3.34133647,-170,18376,1
1.115111,0.002029,0.005412,3.88178082,9080,18377,1
1.11714,0.002029,0.002182,3.56514102,3660,18378,1
1.119168,0.002028,0.001121,3.46113023,1880,18379,1
1.121191,0.002023,0.002801,3.62582214,4700,18380,2
1.125248,0.004057,0.002086,3.55573005,3500,18382,1
1.127277,0.002029,-0.006032,2.7599152,-10120,18383,1
1.129306,0.002029,-0.001168,3.2367375,-1960,18384,1
1.131328,0.002022,0.006378,3.97647867,10700,18385,2
1.135386,0.004058,0.002301,3.57680669,3860,18387,1
1.137415,0.002029,0.003076,3.65278064,5160,18388,1
1.139444,0.002029,0.00124,3.47279591,2080,18389,1
1.141466,0.002022,0.003386,3.68317022,5680,18390,2
1.145524,0.004058,0.001585,3.50661657,2660,18392,1
1.147552,0.002028,0.000489,3.3991747,820,18393,1
1.149581,0.002029,0.00205,3.55220094,3440,18394,1
1.151604,0.002023,0.004649,3.80698325,7800,18395,1
1.153632,0.002028,0.002503,3.59660893,4200,18396,2
1.15769,0.004058,0.001943,3.54171163,3260,18398,1
1.159719,0.002029,-0.003934,2.96558403,-6600,18399,1
1.161741,0.002022,0.007474,4.08392054,12540,18400,1
1.16377,0.002029,0.005329,3.87364426,8940,18401,2
1.167828,0.004058,-0.00037,3.31496616,-620,18403,1
1.16985,0.002022,-0.000954,3.25771611,-1600,18404,1
1.171879,0.002029,0.001466,3.49495089,2460,18405,1
1.173908,0.002029,0.003135,3.65856446,5260,18406,1
